Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW9,16,Chelonians ,Carapace,0.7,1,NA,N,N,CC,,22-Jul-12
A,SW9,16,UNID,2 Phalanx,4.5,1,NA,B,N,CC,,22-Jul-12
A,SW9,16,Chelonians ,Carapace,2.1,3,NA,B,N,CC,,22-Jul-12
A,SW9,16,UNID,Rib,1.5,2,NA,B,N,CC,,22-Jul-12
A,SW9,16,UNID,Unknown,6.6,10,NA,B,N,CC,,22-Jul-12
A,SW9,16,UNID,Unknown,26.5,57,NA,N,N,CC,,22-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW10,16,UNID,Sacrum,5.2,1,NA,N,N,CC,,22-Jul-12
A,SW10,16,Chelonians ,Carapace,2.9,2,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Rib,1.6,2,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Ulna,0.6,1,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Cuboid,1.6,1,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Femur,2.8,2,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Cd. Vertebra,3,1,NA,N,N,CC,,22-Jul-12
A,SW10,16,Varanus sp.,Vertebra,5.8,2,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Vertebra,2.2,2,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Humerus,1.7,1,NA,N,N,CC,,22-Jul-12
A,SW10,16,UNID,Tibia,2.2,2,NA,N,N,CC,,22-Jul-12
A,SW10,16,Rattus remotus,Mandible,1,1,NA,N,N,CC,100-0288/0289/0290/0293,22-Jul-12
A,SW10,16,UNID,Tibia,1.1,2,NA,B,N,CC,,22-Jul-12
A,SW10,16,UNID,Humerus,0.5,1,NA,B,N,CC,,22-Jul-12
A,SW10,16,UNID,Unknown,2.9,9,NA,B,N,CC,,22-Jul-12
A,SW10,16,UNID,Unknown,14,13,NA,N,N,CC,,22-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW11,17,Macaque sp.,Mandible,3.5,1,NA,N,N,HVV,"LLM1,2,3",23-Jul-12
A,SW11,17,Macaque sp.,Navicular,0.6,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Macaque sp.,Canine,1.1,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Macaque sp.,Mandible,3,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Macaque sp.,Ischium,4.9,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Macaque sp.,Humerus,5.1,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Macaque sp.,Zygomatic,1.5,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Chelonians ,Carapace,20.8,15,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Chelonians ,Scapula,1.5,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Macaque sp.,2 Metacarpal,3.9,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,UNID,Vertebra,1,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,UNID,Rib,0.8,2,NA,N,N,HVV,,23-Jul-12
A,SW11,17,Rodentia,Incisor,0.2,1,NA,N,N,HVV,LLI1,23-Jul-12
A,SW11,17,UNID,Metapodial,0.5,1,NA,N,N,HVV,,23-Jul-12
A,SW11,17,UNID,Phalanx,1.2,2,NA,N,N,HVV,,23-Jul-12
A,SW11,17,UNID,Unknown,16.6,19,NA,N,N,HVV,,23-Jul-12
A,SW11,17,UNID,Unknown,1.6,6,NA,B,N,HVV,,23-Jul-12
A,SW11,17,UNID,3 Phalanx,2.2,1,NA,N,N,HVV,,23-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW12,19,UNID,Unknown,13.5,30,NA,N,N,CC,,24-Jul-12
A,SW12,19,Chelonians ,Carapace,16.9,8,NA,N,N,CC,,24-Jul-12
A,SW12,19,UNID,Rib,0.2,1,NA,N,N,CC,,24-Jul-12
