Sample ID,A/S Loc,Date,Time,Initial Sample Wt,Initial Sample Vol,Aliquot Vol.,Diluted To Vol.,Analyst Name,Remarks,Batch ID,Sample Type,Samp Number,Wt Units,Vol Units,Solids Ratio,Sample Prep Vol.,Nominal Wt.,Sample Units,Samp Units Fact.,User Name 1,User Value 1,User Name 2,User Value 2,User Name 3,User Value 3,User Name 4,User Value 4,User Name 5,User Value 5,Result Name,Analyte Name,Date,Time,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,View,Original Data,Tech,Special Sample Category,Special Calculated Value,Corr Coef,Read Delay,Read Time,Int Time,QC Recovery,Repl No1,Date1,Time1,Int (Net)1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Sr 407.771,2/22/2012,9:36:48 AM,Sr,407.771,18414.26627, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,18414.26627,18414.26627, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Te 214.281,2/22/2012,9:36:53 AM,Te,214.281,-552.4410249, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,-552.4410249,-552.4410249, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ti 334.940,2/22/2012,9:36:48 AM,Ti,334.94,2218.903206, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,2218.903206,2218.903206, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Y 371.029,2/22/2012,9:36:48 AM,Y,371.029,-84.50523594, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,-84.50523594,-84.50523594, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Zn 206.200,2/22/2012,9:36:53 AM,Zn,206.2,2752.371737, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,2752.371737,2752.371737, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Bi 223.061,2/22/2012,9:36:53 AM,Bi,223.061,-129.7935343, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,-129.7935343,-129.7935343, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ce 413.764,2/22/2012,9:36:48 AM,Ce,413.764,24.71501956, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,24.71501956,24.71501956, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Co 228.616,2/22/2012,9:36:53 AM,Co,228.616,-231.588517, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,-231.588517,-231.588517, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ga 417.206,2/22/2012,9:36:48 AM,Ga,417.206,-1217.644238, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,-1217.644238,-1217.644238, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,In 230.606,2/22/2012,9:36:53 AM,In,230.606,103.0995727, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,103.0995727,103.0995727, , 
