Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW11,17,F. Camaenidae Amphidronus atricallosus,Gastropod,4.8,1,NA,N,N,CC,,13-Jul-12
A,SW11,17,F. Potamididae Telescopium telescopium,Gastropod,6.2,3,NA,N,N,CC,,13-Jul-12
A,SW11,17,F. Amplluariidae Pomaca sp. ,Gastropod,2.3,2,NA,N,N,CC,,13-Jul-12
A,SW11,17,F. Cyclophoridae Rhiostoma housei,Gastropod,3.7,5,NA,N,N,CC,,13-Jul-12
A,SW11,17,Unknown,Gastropod,75.6,198,NA,N,N,CC,,13-Jul-12
A,SW11,17,Unknown,Bivalve,55.8,110,NA,N,N,CC,,13-Jul-12
A,SW11,17,F. Amblemididae ,Bivalve,72.7,45,NA,N,N,CC,F-100-0228 B-100-0229,13-Jul-12
A,SW11,17,F. Amblemididae ,Bivalve,3.1,1,45.8,N,N,CC,F-100-0225 B-100-0227,13-Jul-12
A,SW11,17,F. Cyclophoridae Plectopylis degerbolae,Gastropod,0.9,1,21.17,N,N,CC,F-100-0223 B-100-0224,13-Jul-12
A,SW11,17,BiB,Bivalve,0.5,1,NA,N,N,CC,,13-Jul-12
A,SW11,17,Gastropoda Operculum,Gastropod,0,2,NA,N,N,CC,,13-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW12,19,Unknown,Fish Hook,0,1,19.46,N,N,HVV,0.005g F-100-0238 B-100-0239 ,18-Jul-12
A,SW12,19,Unknown,Fish Hook,0,1,26.04,N,N,HVV,0.01g F-100-0236 B-100-0237,18-Jul-12
A,SW12,19,Unknown,Bivalve,86.5,319,NA,N,N,HVV,,18-Jul-12
A,SW12,19,Unknown,Gastropod,110.8,771,NA,N,N,HVV,,18-Jul-12
A,SW12,19,F. Amblemididae ,Bivalve,28.2,15,NA,N,N,HVV,,18-Jul-12
A,SW12,19,F. Ampullariidae sp.,Gastropod,2.7,2,NA,N,N,HVV,,18-Jul-12
A,SW12,19,F. Cyclophoridae,Gastropod,27.9,14,NA,N,N,HVV,,18-Jul-12
A,SW12,19,F. Cyclophoridae Rhiostoma sp.,Gastropod,4.1,6,NA,N,N,HVV,,18-Jul-12
A,SW12,19,F. Cyclophoridae,Gastropod,1.3,3,NA,N,N,CC,,18-Jul-12
A,SW12,19,BiB,Bivalve,4.2,5,NA,N,N,CC,,18-Jul-12
A,SW12,19,GB,Gastropod,0.2,1,NA,N,N,CC,,18-Jul-12
A,SW12,19,Gastropoda Operculum,Gastropod,0.4,2,NA,N,N,CC,,18-Jul-12
A,SW12,19,F. Cyclophoridae Cyclophorus malayanus,Gastropod,10.9,1,56.53,N,N,CC,100-0240/0241/0242/0243,18-Jul-12
A,SW12,19,F. Corbiculidae,Bivalve,19.9,1,54.77,N,N,CC,100-0250/0251/0252/0253/0254,18-Jul-12
A,SW12,19,BiB,Bivalve,2.4,1,31.72,N,N,CC,100-0259/0260/0261/0262/0263,18-Jul-12
A,SW12,19,F. Cyclophoridae Plectopylis degerbolae A,Gastropod,1,1,19.94,N,N,CC,100-0255/0256/0257/0258,18-Jul-12
A,SW12,19,F. Cyclophoridae Plectopylis degerbolae B,Gastropod,1,1,21.43,N,N,CC,100-0255/0256/0257/0258,18-Jul-12
A,SW12,19,Gastropoda Operculum,Gastropod,0.9,1,31.14,N,N,CC,Refit 100-0244/0245/0246/0247/0248,18-Jul-12
A,SW12,19,F. Potamididae A,Gastropod,0,1,15.54,N,N,CC,100-0234/0233/0232/0231,18-Jul-12
